The Ring (1927),The Farmers Wife (1928),Champagne (1928),The Manxman (1929),Blackmail (1929),Murder (1930),The Skin Game (1931),Rich and Strange (1931),Number Seventeen (1932)
2.58,5,8.38,1.5,4.42,44.9,2,12.1,6.2
4.08,3,5.92,2.5,14.17,3.6,3.1,3.8,55.1
4.08,5.08,6,1.4,17.83,3.8,6.9,6,5.4
2.96,2.88,7.04,1.9,26.42,5,2.5,4.9,7.3
6.04,10.38,17.46,4.8,4.79,5,4.3,44.6,29.1
3.5,5.17,30.17,2.9,8,5.8,114.1,27.1,5.7
3.17,28.67,16.75,16.1,2.54,5.2,23.8,5.6,1.4
5.42,24.92,11.63,3.1,2.96,77.6,8,6.1,7.6
1.96,4.88,2.96,7.5,7.75,108.7,5.8,4.8,5.9
4.54,1.54,5.67,2,15.46,19.9,3.4,13.9,7.5
2.75,7.71,5.29,2.3,3.96,3,1.6,3.9,1.7
5.25,6.04,13.83,6.7,4.04,11,4.6,17.7,2
19.08,9,8.46,2.6,1.92,7.3,5.6,2.4,1.6
6.46,4.33,2.63,2.6,2.33,33.7,1.3,1.9,1.5
15.13,3.29,6.92,10.3,1.63,31.8,1.2,5.4,0.5
4.21,1.75,5.29,23.5,10.67,61.8,2.3,4.8,1.1
12.29,1.96,3.17,9.8,4.96,4.5,3,4.4,1.3
14,5.79,1.29,10,9.17,6.9,2.3,1.7,3.6
14.46,21.38,3.54,7.4,7.21,9,2.6,13.4,0.5
10.25,4.83,8.42,4,2.67,5.5,15.7,3,1.9
1.79,2.46,2.33,6.7,18.25,21.7,4.1,3,0.6
11.13,7.54,17.71,37.7,2.25,1.4,144.1,4.7,0.6
4.25,2.33,4.63,1.1,2.08,1.5,9.4,2.7,3.1
3.29,8.21,4.46,7.5,6.58,2.1,2.5,2.6,1.6
2.46,5.63,3,4,1.71,3.4,1.8,14.8,1
5.96,3.96,5.79,5.2,5.75,6.7,20,2.4,4.7
12.33,7.92,11.71,12,1.83,2.8,175.2,23.8,2.4
9.04,9.92,7.25,2.3,2,71.5,145.4,4.1,3.2
2.75,3.5,5.96,4.7,3.46,3.2,7,33.1,1.1
9.5,11.08,5.13,7,4.5,1.4,136.5,6.5,0.8
4.79,2.17,2.58,8.7,19.46,3.2,5.3,3.9,0.7
12,6.25,1.83,11.4,9.46,1.3,8.7,5.7,4.2
9.29,6.92,4.83,7.8,3.75,2,7.4,5.8,5
9.08,3.42,2.83,5.2,33.13,1.7,21.3,3.7,4.6
3.83,6.54,7.67,4.7,2.38,2.5,7.2,4.7,43.9
8.88,12.63,1.21,7.1,20.83,1.7,32.4,6.2,0.7
4,1.96,3.71,3,1.88,3.5,57.7,3.9,1.8
2.83,2.04,1.42,5.5,6.92,1.9,11.5,3.3,2
9.08,2.38,5.21,3.9,2.71,19.7,124.7,1.6,2.1
11.54,1.04,6.63,4.7,2.83,4.3,8,1,1
4.17,4.92,2.79,6.8,2.25,4.1,53.2,1.4,15.1
4.63,1.75,6.88,5.5,19.25,3.1,2.3,1.1,1.5
5.83,2.42,2.08,1.7,1.67,3.2,4.6,1,5
5.13,1.58,3.67,3,17.5,3.3,2.9,3.2,1
6.92,4.04,5.58,1.8,10.58,19.7,36.4,1.9,9.6
6.25,2.25,1.79,6.3,9.67,117.1,7.4,1.4,4.3
20.08,2.46,6.96,3.2,6.17,37.1,2.5,1.2,2
10.5,2.33,13.71,2.6,5.42,178.9,5.7,1.8,8.7
1.42,1.46,3.42,6.2,3.33,11.6,1.3,1.4,36.3
8.21,6.04,4.13,1.9,4.29,38.3,55,6.3,6
4.58,35.46,1.17,6.6,4.13,22.2,182.3,1.3,19
3,10.29,4.21,6.2,4,4.1,2.4,1.5,4
3.88,4.13,3.29,1.9,26.88,34.3,77.5,2,11.7
14.46,1.71,2.13,10.4,4.13,1.3,5.5,1.6,1.2
