The Ring (1927),The Farmers Wife (1928),Champagne (1928),The Manxman (1929),Blackmail (1929),Murder (1930),The Skin Game (1931),Rich and Strange (1931),Number Seventeen (1932)
16.04,7.63,2.21,NA,NA,NA,NA,NA,NA
15,2.83,2.13,NA,NA,NA,NA,NA,NA
1.54,9.79,2.54,NA,NA,NA,NA,NA,NA
2.25,2.13,1.96,NA,NA,NA,NA,NA,NA
4.08,2.5,8.88,NA,NA,NA,NA,NA,NA
24.17,8.79,3.42,NA,NA,NA,NA,NA,NA
4.92,10.08,25.71,NA,NA,NA,NA,NA,NA
4.92,2.38,9.04,NA,NA,NA,NA,NA,NA
3.5,2.75,6.38,NA,NA,NA,NA,NA,NA
2.83,6.46,1.21,NA,NA,NA,NA,NA,NA
2.42,2.13,5.25,NA,NA,NA,NA,NA,NA
2.46,2.83,8.46,NA,NA,NA,NA,NA,NA
3.42,6.71,9.33,NA,NA,NA,NA,NA,NA
5.71,2.83,7.33,NA,NA,NA,NA,NA,NA
4,8.71,3.17,NA,NA,NA,NA,NA,NA
2.71,2.08,3.13,NA,NA,NA,NA,NA,NA
3,11.25,5.46,NA,NA,NA,NA,NA,NA
5.17,5.63,2.38,NA,NA,NA,NA,NA,NA
5.21,8.63,3.67,NA,NA,NA,NA,NA,NA
2.04,7.29,3.83,NA,NA,NA,NA,NA,NA
3.83,3.75,6.58,NA,NA,NA,NA,NA,NA
2.04,3.67,4.92,NA,NA,NA,NA,NA,NA
2.75,2.63,2.42,NA,NA,NA,NA,NA,NA
1.46,13.71,2.79,NA,NA,NA,NA,NA,NA
4.67,2.21,3.96,NA,NA,NA,NA,NA,NA
3.17,17.54,2.13,NA,NA,NA,NA,NA,NA
18.13,2.63,13.58,NA,NA,NA,NA,NA,NA
3.54,5.67,2.13,NA,NA,NA,NA,NA,NA
6,2.88,1.67,NA,NA,NA,NA,NA,NA
6.08,14.38,9.33,NA,NA,NA,NA,NA,NA
4.96,3.13,2.21,NA,NA,NA,NA,NA,NA
19.79,2.46,1.92,NA,NA,NA,NA,NA,NA
16.29,7.67,6.71,NA,NA,NA,NA,NA,NA
3.38,8.54,10.38,NA,NA,NA,NA,NA,NA
4.54,3.79,4.46,NA,NA,NA,NA,NA,NA
4.96,1.54,5.04,NA,NA,NA,NA,NA,NA
10.04,4.21,3.42,NA,NA,NA,NA,NA,NA
3.25,2.67,1.5,NA,NA,NA,NA,NA,NA
8.29,5.83,1.42,NA,NA,NA,NA,NA,NA
9.25,7.5,1.83,NA,NA,NA,NA,NA,NA
2.58,10.63,3,NA,NA,NA,NA,NA,NA
1.75,4.75,5.96,NA,NA,NA,NA,NA,NA
3.25,3.63,4.63,NA,NA,NA,NA,NA,NA
5.29,7,4.08,NA,NA,NA,NA,NA,NA
9.54,14.42,5,NA,NA,NA,NA,NA,NA
3.13,4.96,7.33,NA,NA,NA,NA,NA,NA
4.83,3.75,3.88,NA,NA,NA,NA,NA,NA
12.13,5.38,12.13,NA,NA,NA,NA,NA,NA
4.75,4.29,2.21,NA,NA,NA,NA,NA,NA
4.38,2.54,9.79,NA,NA,NA,NA,NA,NA
16.5,4.5,1.33,NA,NA,NA,NA,NA,NA
13.21,6.42,2.75,NA,NA,NA,NA,NA,NA
16.42,6.54,3.79,NA,NA,NA,NA,NA,NA
4.67,3.79,1.79,NA,NA,NA,NA,NA,NA
14.96,2.46,1.67,NA,NA,NA,NA,NA,NA
8.25,4.25,7.42,NA,NA,NA,NA,NA,NA
5.79,21.67,3.88,NA,NA,NA,NA,NA,NA
2,9.33,4.79,NA,NA,NA,NA,NA,NA
3.17,2.96,3.5,NA,NA,NA,NA,NA,NA
8.38,3.21,3.5,NA,NA,NA,NA,NA,NA
3.38,2.13,2.63,NA,NA,NA,NA,NA,NA
4.42,1.67,3.33,NA,NA,NA,NA,NA,NA
12,2.04,1.38,NA,NA,NA,NA,NA,NA
18.38,32.5,3,NA,NA,NA,NA,NA,NA
7.33,2.13,4.54,NA,NA,NA,NA,NA,NA
3.71,13.83,1.63,NA,NA,NA,NA,NA,NA
12.71,3.5,8.5,NA,NA,NA,NA,NA,NA
1.33,4.54,NA,NA,NA,NA,NA,NA,NA
11.54,13.63,NA,NA,NA,NA,NA,NA,NA
0.83,2.46,NA,NA,NA,NA,NA,NA,NA
1.13,4,NA,NA,NA,NA,NA,NA,NA
5.67,35.38,NA,NA,NA,NA,NA,NA,NA
4.71,4.5,NA,NA,NA,NA,NA,NA,NA
4.54,2.63,NA,NA,NA,NA,NA,NA,NA
2.96,12.83,NA,NA,NA,NA,NA,NA,NA
3.92,8.79,NA,NA,NA,NA,NA,NA,NA
8,4.33,NA,NA,NA,NA,NA,NA,NA
4.38,4.83,NA,NA,NA,NA,NA,NA,NA
12.71,7.13,NA,NA,NA,NA,NA,NA,NA
7.38,9.75,NA,NA,NA,NA,NA,NA,NA
1.58,1.79,NA,NA,NA,NA,NA,NA,NA
2.04,2.92,NA,NA,NA,NA,NA,NA,NA
0.79,4.13,NA,NA,NA,NA,NA,NA,NA
0.88,3.29,NA,NA,NA,NA,NA,NA,NA
6.13,4.33,NA,NA,NA,NA,NA,NA,NA
3.21,9.17,NA,NA,NA,NA,NA,NA,NA
2.54,4.67,NA,NA,NA,NA,NA,NA,NA
2.46,10.54,NA,NA,NA,NA,NA,NA,NA
3,3.92,NA,NA,NA,NA,NA,NA,NA
3.79,5.83,NA,NA,NA,NA,NA,NA,NA
3.04,21.29,NA,NA,NA,NA,NA,NA,NA
2.21,5.17,NA,NA,NA,NA,NA,NA,NA
1.29,3.33,NA,NA,NA,NA,NA,NA,NA
2.88,18.33,NA,NA,NA,NA,NA,NA,NA
1.88,5.92,NA,NA,NA,NA,NA,NA,NA
1.25,4.42,NA,NA,NA,NA,NA,NA,NA
2.17,9.67,NA,NA,NA,NA,NA,NA,NA
2.75,3.92,NA,NA,NA,NA,NA,NA,NA
2,17.13,NA,NA,NA,NA,NA,NA,NA
2.63,1.71,NA,NA,NA,NA,NA,NA,NA
3.46,4.58,NA,NA,NA,NA,NA,NA,NA
3.58,1.79,NA,NA,NA,NA,NA,NA,NA
1.42,2.88,NA,NA,NA,NA,NA,NA,NA
4.75,6.29,NA,NA,NA,NA,NA,NA,NA
4.79,5.46,NA,NA,NA,NA,NA,NA,NA
2.33,4.13,NA,NA,NA,NA,NA,NA,NA
4.83,1.75,NA,NA,NA,NA,NA,NA,NA
3.13,3,NA,NA,NA,NA,NA,NA,NA
1.29,1.88,NA,NA,NA,NA,NA,NA,NA
4.79,7.13,NA,NA,NA,NA,NA,NA,NA
3.54,3.54,NA,NA,NA,NA,NA,NA,NA
7.71,8.33,NA,NA,NA,NA,NA,NA,NA
6.5,2.29,NA,NA,NA,NA,NA,NA,NA
4.21,2.13,NA,NA,NA,NA,NA,NA,NA
3.71,5.25,NA,NA,NA,NA,NA,NA,NA
3.46,2.29,NA,NA,NA,NA,NA,NA,NA
4.67,6.88,NA,NA,NA,NA,NA,NA,NA
2.17,4.38,NA,NA,NA,NA,NA,NA,NA
2,4.38,NA,NA,NA,NA,NA,NA,NA
1.88,3.63,NA,NA,NA,NA,NA,NA,NA
2.17,1.71,NA,NA,NA,NA,NA,NA,NA
5.13,3.25,NA,NA,NA,NA,NA,NA,NA
4.25,2.21,NA,NA,NA,NA,NA,NA,NA
4.13,1.25,NA,NA,NA,NA,NA,NA,NA
2.79,1.58,NA,NA,NA,NA,NA,NA,NA
1.29,13.08,NA,NA,NA,NA,NA,NA,NA
1.25,1.29,NA,NA,NA,NA,NA,NA,NA
1,1.88,NA,NA,NA,NA,NA,NA,NA
0.75,1.46,NA,NA,NA,NA,NA,NA,NA
0.08,2.42,NA,NA,NA,NA,NA,NA,NA
0.08,4.42,NA,NA,NA,NA,NA,NA,NA
0.04,3.21,NA,NA,NA,NA,NA,NA,NA
0.13,6.21,NA,NA,NA,NA,NA,NA,NA
2.25,3.33,NA,NA,NA,NA,NA,NA,NA
2.63,9,NA,NA,NA,NA,NA,NA,NA
2.63,4.88,NA,NA,NA,NA,NA,NA,NA
13.08,2.21,NA,NA,NA,NA,NA,NA,NA
1.54,4.92,NA,NA,NA,NA,NA,NA,NA
10.58,3.83,NA,NA,NA,NA,NA,NA,NA
3.04,6.21,NA,NA,NA,NA,NA,NA,NA
1.63,3.54,NA,NA,NA,NA,NA,NA,NA
1.71,4.42,NA,NA,NA,NA,NA,NA,NA
1.58,1.17,NA,NA,NA,NA,NA,NA,NA
2.63,8.96,NA,NA,NA,NA,NA,NA,NA
3.92,3.79,NA,NA,NA,NA,NA,NA,NA
3.96,3.29,NA,NA,NA,NA,NA,NA,NA
1.79,4.63,NA,NA,NA,NA,NA,NA,NA
3.96,2.13,NA,NA,NA,NA,NA,NA,NA
2.83,8.42,NA,NA,NA,NA,NA,NA,NA
11.38,10,NA,NA,NA,NA,NA,NA,NA
2.42,5.67,NA,NA,NA,NA,NA,NA,NA
2.83,5.54,NA,NA,NA,NA,NA,NA,NA
1.46,2.63,NA,NA,NA,NA,NA,NA,NA
1.54,10.58,NA,NA,NA,NA,NA,NA,NA
1.25,2.71,NA,NA,NA,NA,NA,NA,NA
1.21,2.25,NA,NA,NA,NA,NA,NA,NA
8.83,1.38,NA,NA,NA,NA,NA,NA,NA
4.04,1.54,NA,NA,NA,NA,NA,NA,NA
5.54,2.92,NA,NA,NA,NA,NA,NA,NA
3.08,13.25,NA,NA,NA,NA,NA,NA,NA
1.25,6.58,NA,NA,NA,NA,NA,NA,NA
1.63,1.25,NA,NA,NA,NA,NA,NA,NA
2.63,3.29,NA,NA,NA,NA,NA,NA,NA
6.33,7.21,NA,NA,NA,NA,NA,NA,NA
6.38,1.88,NA,NA,NA,NA,NA,NA,NA
4.42,1.83,NA,NA,NA,NA,NA,NA,NA
4.25,3.04,NA,NA,NA,NA,NA,NA,NA
12.83,4.96,NA,NA,NA,NA,NA,NA,NA
3.25,2.42,NA,NA,NA,NA,NA,NA,NA
2.38,4.42,NA,NA,NA,NA,NA,NA,NA
5.88,2.54,NA,NA,NA,NA,NA,NA,NA
10.96,6.04,NA,NA,NA,NA,NA,NA,NA
7.83,4.21,NA,NA,NA,NA,NA,NA,NA
7.17,17.75,NA,NA,NA,NA,NA,NA,NA
3.38,14.33,NA,NA,NA,NA,NA,NA,NA
3.96,13.13,NA,NA,NA,NA,NA,NA,NA
3.33,2.96,NA,NA,NA,NA,NA,NA,NA
1.08,8.71,NA,NA,NA,NA,NA,NA,NA
1.38,9.21,NA,NA,NA,NA,NA,NA,NA
3.04,5.25,NA,NA,NA,NA,NA,NA,NA
5.13,6.96,NA,NA,NA,NA,NA,NA,NA
7.29,NA,NA,NA,NA,NA,NA,NA,NA
1.54,NA,NA,NA,NA,NA,NA,NA,NA
5.83,NA,NA,NA,NA,NA,NA,NA,NA
2.46,NA,NA,NA,NA,NA,NA,NA,NA
2.17,NA,NA,NA,NA,NA,NA,NA,NA
6.67,NA,NA,NA,NA,NA,NA,NA,NA
4.17,NA,NA,NA,NA,NA,NA,NA,NA
4.67,NA,NA,NA,NA,NA,NA,NA,NA
0.67,NA,NA,NA,NA,NA,NA,NA,NA
4.08,NA,NA,NA,NA,NA,NA,NA,NA
1.79,NA,NA,NA,NA,NA,NA,NA,NA
1.79,NA,NA,NA,NA,NA,NA,NA,NA
14.17,NA,NA,NA,NA,NA,NA,NA,NA
2.63,NA,NA,NA,NA,NA,NA,NA,NA
0.83,NA,NA,NA,NA,NA,NA,NA,NA
3.67,NA,NA,NA,NA,NA,NA,NA,NA
5.38,NA,NA,NA,NA,NA,NA,NA,NA
3.88,NA,NA,NA,NA,NA,NA,NA,NA
2.79,NA,NA,NA,NA,NA,NA,NA,NA
1.63,NA,NA,NA,NA,NA,NA,NA,NA
1.08,NA,NA,NA,NA,NA,NA,NA,NA
1.04,NA,NA,NA,NA,NA,NA,NA,NA
2.38,NA,NA,NA,NA,NA,NA,NA,NA
1.33,NA,NA,NA,NA,NA,NA,NA,NA
1.33,NA,NA,NA,NA,NA,NA,NA,NA
2.13,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA
8.29,NA,NA,NA,NA,NA,NA,NA,NA
1.83,NA,NA,NA,NA,NA,NA,NA,NA
16.79,NA,NA,NA,NA,NA,NA,NA,NA
3.79,NA,NA,NA,NA,NA,NA,NA,NA
2.92,NA,NA,NA,NA,NA,NA,NA,NA
1.42,NA,NA,NA,NA,NA,NA,NA,NA
9.04,NA,NA,NA,NA,NA,NA,NA,NA
3.13,NA,NA,NA,NA,NA,NA,NA,NA
3.21,NA,NA,NA,NA,NA,NA,NA,NA
18.79,NA,NA,NA,NA,NA,NA,NA,NA
2.33,NA,NA,NA,NA,NA,NA,NA,NA
1.46,NA,NA,NA,NA,NA,NA,NA,NA
6.54,NA,NA,NA,NA,NA,NA,NA,NA
2.21,NA,NA,NA,NA,NA,NA,NA,NA
1.38,NA,NA,NA,NA,NA,NA,NA,NA
3.42,NA,NA,NA,NA,NA,NA,NA,NA
9.21,NA,NA,NA,NA,NA,NA,NA,NA
6.96,NA,NA,NA,NA,NA,NA,NA,NA
2.21,NA,NA,NA,NA,NA,NA,NA,NA
0.42,NA,NA,NA,NA,NA,NA,NA,NA
2.5,NA,NA,NA,NA,NA,NA,NA,NA
16.67,NA,NA,NA,NA,NA,NA,NA,NA
