The Ring (1927),The Farmers Wife (1928),Champagne (1928),The Manxman (1929),Blackmail (1929),Murder (1930),The Skin Game (1931),Rich and Strange (1931),Number Seventeen (1932)
0.5933892771522614,0.31710533244052624,0.7524219118201323,0.33321495024794107,0.3945650161279467,0.24183655335115165,0.22410602257450016,0.19364425246367806,0.07636501836913104
0.6388303257433094,0.2834919375608991,0.8479818773745155,0.40667657606165486,0.4771135658612289,0.2477111510329444,0.2484510136817866,0.20849662733993293,0.07000804513767475
0.6418398285778375,0.2771700876374894,0.9021028317185931,0.5021247983063877,0.5586483719089431,0.2332702136372587,0.24012854645346482,0.22554905798391303,0.06463117238383269
0.5883714391339147,0.3268752908041657,0.8610707686085568,0.5904735947867977,0.6074723393683682,0.22102296142942462,0.2020303581982586,0.24672577933199216,0.06206207813120115
0.5068392091320374,0.41848003670306483,0.7391829358414106,0.6501936528716332,0.5996082517849084,0.21655779398661207,0.15590905667831492,0.2741057444403035,0.06589213229377433
0.43984903943608816,0.5034387319265107,0.6053410793123228,0.6774532418831343,0.5407887144073124,0.2139616009917663,0.12374113976909223,0.302312682405194,0.07879063420626072
0.40937204427080925,0.5337269414215002,0.5204083860410592,0.684547373174496,0.4608451585480665,0.20487388854667923,0.11337246692257069,0.3210517955764184,0.10067580090837226
0.40514895469480955,0.49407813459539995,0.4919997942726572,0.6857241849228575,0.3893623595710384,0.17906978213493382,0.11773414529040578,0.32346715366059287,0.12832959653249887
0.39868348350930094,0.4125673803163333,0.4911740539227858,0.6841619408120457,0.3407147140564748,0.13796777556772358,0.12391869856352869,0.3117385138000267,0.1562359159334008
0.3672475982932469,0.3412587284978042,0.49927804302715,0.6718604067728994,0.31691280377354186,0.10558508535383836,0.12238382481508442,0.2964529635741678,0.1782083704280784
0.310584492034026,0.3216540930590748,0.5246588078988593,0.6393841487331903,0.31497013713063426,0.10819241849865788,0.1100356724200104,0.2912147828960076,0.18925125906074056
0.25018003248349985,0.3644398416368839,0.579067800108031,0.5846330573475947,0.32790885121486796,0.14418062200973095,0.08866840459974829,0.305664976895688,0.18701217433873468
0.21473522196244338,0.4502960265058233,0.6508079810270818,0.516020616556045,0.3421675272375701,0.18210704898831212,0.06292521351857841,0.3395768054885011,0.1724701338641611
0.22530030003218554,0.5386610595684471,0.7024917743419229,0.4514622635308887,0.3405229743095891,0.19001960949740418,0.038606803057429286,0.38066399583368393,0.14992289184488175
0.28682479985308074,0.5863145537099532,0.6938852747945443,0.4121163034213394,0.31259860879977297,0.16577727558131808,0.020470953785110897,0.41098212811512563,0.1262854214091608
0.3834158440085389,0.575082561549236,0.6148642238689466,0.4117192220895357,0.26311173370921453,0.13615236998270924,0.010792972268015266,0.42406840625846065,0.10936035076844124
0.4808661314589747,0.5232278156937584,0.5002286576958511,0.4509179803655729,0.20827489346213168,0.12815375168109944,0.010399679547866109,0.44055890172549717,0.1049819498574695
0.5455036016629854,0.471757191617637,0.40513061005589807,0.5212125104985748,0.164536937827403,0.14519730522936283,0.02090695385396275,0.4998485136868798,0.11400838582057662
0.56912769895912,0.46802977461217254,0.36292881826479306,0.6076682620783924,0.141328375102681,0.1657321102452936,0.04468099442152175,0.6239456534954537,0.13105163391896704
0.5719208691870442,0.5478838404128764,0.3716903557268318,0.6846075623332115,0.14105998020214597,0.16194987944565367,0.0808667534654127,0.785582098646203,0.14638477939983527
0.5783926273284578,0.7003884817284024,0.4161730485017413,0.7190269430532192,0.1607844094277927,0.12754153379258037,0.12092709013183761,0.9189199531474975,0.15055108270058515
0.5926929447250131,0.851534455378852,0.4869216345938017,0.6901858677494006,0.19309912883419797,0.08669486726448078,0.15033300743204978,0.9690517714866831,0.13915232551692877
0.5935035946735481,0.9167348722692293,0.5742295786862214,0.605702847367179,0.22881165365894926,0.06962905024313547,0.15795313049512602,0.9332269496173428,0.11490554538521461
0.5516449799905679,0.8755106142204957,0.6569262887105451,0.4955302654340329,0.2608699689894817,0.08194137481955646,0.1445097332728852,0.857339676205369,0.08588314497083344
0.46165708674535283,0.776296358666992,0.709475239094412,0.3946289876348654,0.2865059949769941,0.1008602585546575,0.12035822449316806,0.7990185142541165,0.06141852570379416
0.3576010281290415,0.6726121807606875,0.7213487947617222,0.3319851547800369,0.30752904045969204,0.1021366373744364,0.09528963791824557,0.79292867444124,0.048295470273365074
0.29060836476654156,0.5770867067207459,0.7048071313845389,0.32440599401202064,0.32938553038284657,0.09031124827936991,0.07241325626018756,0.8386510038385384,0.04889943197040206
0.2932934852500373,0.4825287023452693,0.68121755544209,0.36983811655127535,0.35747149811128154,0.09780698409535196,0.051060017013404214,0.9093888650800872,0.061348746190397555
0.36773062537368434,0.3992626180140515,0.6634294425011947,0.4472165782138915,0.3908207688922686,0.1571947794931378,0.03179007023060061,0.9710332984653908,0.0808120049186995
0.4925236014482911,0.3436112863226071,0.6540017880363005,0.5267922999596374,0.4176548335501925,0.28415877961950003,0.01680770944536608,1,0.10137262515777837
0.6290038906186044,0.3055522305101441,0.651702057603526,0.5818989511827259,0.41904089093960656,0.4782077644066751,0.007371126359541133,0.9898539355246282,0.11800300010326109
