genre,film,Normalised_time,Simplified
drama,Murder On The Orient Express,27,0.682078318918206
drama,Murder On The Orient Express,28,0.6094517303636637
drama,Murder On The Orient Express,29,0.5303735076919309
drama,Murder On The Orient Express,30,0.44547531838395615
drama,Murder On The Orient Express,31,0.3554946181120011
drama,Murder On The Orient Express,32,0.26126521987117646
drama,Murder On The Orient Express,33,0.16370620489102872
drama,Murder On The Orient Express,34,0.06380934056131271
drama,Murder On The Orient Express,35,-0.03737480467055998
drama,Murder On The Orient Express,36,-0.1387518376999589
drama,Murder On The Orient Express,37,-0.23919937826380988
drama,Murder On The Orient Express,38,-0.3375835124745302
drama,Murder On The Orient Express,39,-0.4327756063126076
drama,Murder On The Orient Express,40,-0.523669216022404
drama,Murder On The Orient Express,41,-0.6091968295318042
drama,Murder On The Orient Express,42,-0.6883461744020004
drama,Murder On The Orient Express,43,-0.760175833397269
drama,Murder On The Orient Express,44,-0.8238299184675929
drama,Murder On The Orient Express,45,-0.8785515676157413
drama,Murder On The Orient Express,46,-0.9236950465679794
drama,Murder On The Orient Express,47,-0.9587362581170927
drama,Murder On The Orient Express,48,-0.9832814861350722
drama,Murder On The Orient Express,49,-0.9970742281871154
drama,Murder On The Orient Express,50,-1
drama,Murder On The Orient Express,51,-0.9920890262893821
drama,Murder On The Orient Express,52,-0.9735167651440351
drama,Murder On The Orient Express,53,-0.9446022467885262
drama,Murder On The Orient Express,54,-0.9058042415720969
drama,Murder On The Orient Express,55,-0.8577153059258508
drama,Murder On The Orient Express,56,-0.8010537882593725
drama,Murder On The Orient Express,57,-0.7366539088077231
drama,Murder On The Orient Express,58,-0.6654540577843454
drama,Murder On The Orient Express,59,-0.58848348436465
drama,Murder On The Orient Express,60,-0.5068475745721359
drama,Murder On The Orient Express,61,-0.42171193865766277
drama,Murder On The Orient Express,62,-0.33428554769365915
drama,Murder On The Orient Express,63,-0.24580317454197242
drama,Murder On The Orient Express,64,-0.15750740584778156
drama,Murder On The Orient Express,65,-0.0706304990748936
