frame,frame_id,time,L,A,B,C,H,S,r,g,b,M3,cluster
91,image_000091,45.5,17.21433342,9.239879418,-14.46829341,17.16702622,302.563497,70.61331455,44.86078124,38.72515334,63.07550769,39.33165865,Cluster  1
92,image_000092,46,17.24240249,9.107034382,-14.29217484,16.94710126,302.5054537,70.09731992,44.88111575,38.84201664,62.88450624,39.38463925,Cluster  1
93,image_000093,46.5,17.24354566,9.111555998,-14.29560261,16.95242197,302.5121161,70.10614782,44.88755749,38.84220534,62.89209774,39.39329881,Cluster  1
94,image_000094,47,17.24403619,9.111550165,-14.29686078,16.95347984,302.5098141,70.10735826,44.88739042,38.84335887,62.89501357,39.40966408,Cluster  1
95,image_000095,47.5,17.25501786,9.114106896,-14.30029515,16.95775014,302.5108625,70.09363971,44.91225033,38.865322,62.92492264,39.42442866,Cluster  1
96,image_000096,48,17.25491965,9.112970205,-14.29464898,16.95237799,302.5178791,70.08254441,44.91573934,38.86521679,62.91659105,39.41679374,Cluster  1
97,image_000097,48.5,17.25489819,9.115441753,-14.29477958,16.95381685,302.524685,70.08561537,44.91955156,38.86379603,62.91677651,39.42579011,Cluster  1
98,image_000098,49,22.78878229,20.94097971,-32.15542254,38.37311117,303.0738855,85.98080319,56.84313239,45.29694033,102.7524355,30.20274136,Cluster  1
99,image_000099,49.5,22.78687827,20.91154494,-32.13136435,38.33688978,303.0566441,85.96149544,56.81741828,45.31050195,102.7104952,30.32237414,Cluster  1
100,image_000100,50,22.78343501,20.91313008,-32.13383791,38.33982759,303.0566131,85.96660567,56.80837644,45.30223716,102.705727,30.33267224,Cluster  1
101,image_000101,50.5,22.78512169,20.9241878,-32.1472826,38.3571277,303.0595023,85.97506401,56.81404174,45.29993996,102.7306268,30.32544007,Cluster  1
102,image_000102,51,22.70191069,20.86231248,-32.06507938,38.25447986,303.0489951,85.99700427,56.61104899,45.15119332,102.3971319,30.39428536,Cluster  1
103,image_000103,51.5,22.78302226,20.90529066,-32.12395613,38.32726922,303.0548487,85.9596609,56.80679141,45.30551504,102.6894891,30.37041939,Cluster  1
104,image_000104,52,22.78155362,20.90405214,-32.12273704,38.32557191,303.0542909,85.96011377,56.80259405,45.30303142,102.6839532,30.37959435,Cluster  1
105,image_000105,52.5,22.78186712,20.89933112,-32.1202738,38.32093243,303.0503835,85.95708769,56.79797003,45.30676781,102.680897,30.39341313,Cluster  1
106,image_000106,53,22.78326424,20.89343786,-32.11677432,38.31478526,303.0458507,85.95210948,56.79528581,45.31355467,102.678937,30.39611013,Cluster  1
107,image_000107,53.5,12.95528927,10.87996319,-18.86801576,21.78016397,299.9692625,85.9450551,33.44783962,29.4641661,59.68445794,34.13944101,Cluster  1
108,image_000108,54,12.96954512,10.89287371,-18.87861713,21.79579792,299.984742,85.93646765,33.48852082,29.48666265,59.7317851,34.14264238,Cluster  1
109,image_000109,54.5,12.96770364,10.93015569,-18.90932488,21.84103467,300.0291948,85.9861828,33.51136307,29.4646522,59.77129894,34.21276479,Cluster  1
110,image_000110,55,12.97295215,10.95648126,-18.92770678,21.8701278,300.0648056,86.00693506,33.54591893,29.46196003,59.80938755,34.25486409,Cluster  1
111,image_000111,55.5,12.98811264,10.97373589,-18.93641092,21.88630764,300.0924834,85.99734243,33.59842508,29.48350784,59.85618518,34.22720416,Cluster  1
112,image_000112,56,12.97786997,10.96701327,-18.93741474,21.88380638,300.0759369,86.01244653,33.5630553,29.46685197,59.83430656,34.25327653,Cluster  1
113,image_000113,56.5,12.98169354,10.9856167,-18.9530141,21.90663008,300.0975958,86.02917469,33.58452717,29.46547499,59.86514729,34.27982154,Cluster  1
114,image_000114,57,13.75330611,15.83502324,-31.00452867,34.81420338,297.0548834,93.00561224,25.35159959,29.69114106,78.92887008,35.17116451,Cluster  1
115,image_000115,57.5,13.7742071,15.83532401,-31.02516517,34.83271965,297.0398845,92.99321243,25.36133669,29.73643219,79.00869845,35.13821644,Cluster  1
116,image_000116,58,13.77696753,15.84866076,-31.03933935,34.8514079,297.0488199,92.99743635,25.37025284,29.73558364,79.03603361,35.15131185,Cluster  1
117,image_000117,58.5,13.79952132,15.85144922,-31.042966,34.85590593,297.0501912,92.97847716,25.42949901,29.77979461,79.09516499,35.16172803,Cluster  1
118,image_000118,59,13.76353211,15.85730134,-31.02929486,34.84639355,297.0689835,93.00788376,25.37905242,29.70120779,78.98950436,35.21592627,Cluster  1
119,image_000119,59.5,13.76546532,15.88307079,-31.05837005,34.88401189,297.0849411,93.01965494,25.38331231,29.69298257,79.03665382,35.19651003,Cluster  1
120,image_000120,60,13.75194414,15.8850917,-31.05013277,34.87759855,297.0940581,93.02966078,25.37096972,29.66306732,78.99245586,35.21511894,Cluster  1
121,image_000121,60.5,13.75489444,15.91457814,-31.07903911,34.91676484,297.1155298,93.04101572,25.3877429,29.65441299,79.04183536,35.16877966,Cluster  1
